id,claim,type,verifier,status
QCF1,"Superconducting: ~70% chance of reaching fault-tolerant, useful-scale QC (~10-15 yr). Most mature, most capital, fastest gates, error correction already improving with scale; multiple serious players de-risk it. Loose forecast, independent per-path odds, +/-~15 pts, mid-2026.",EST,"open forecast — signpost: up if modular interconnect and logical scaling keep working; down if surface-code overhead proves intractable",OPEN-UNVERIFIED
QCF2,"Trapped ion: ~60%. Highest demonstrated quality (accuracy, coherence, ~2:1 physical-to-logical ratio); open question is scaling qubit count, not quality. Loose forecast, independent odds, +/-~15 pts, mid-2026.",EST,"open forecast — signpost: up if a chip-based ion system scales past hundreds of qubits with fidelity intact",OPEN-UNVERIFIED
QCF3,"Neutral atom: ~58%. Fastest recent progress, leads in error-corrected qubit count, cheap identical atoms, software-reconfigurable connectivity; held back mainly by relative youth. Loose forecast, independent odds, +/-~15 pts, mid-2026.",EST,"open forecast — signpost: up if sustained large logical-qubit operation at higher fidelity is demonstrated",OPEN-UNVERIFIED
QCF4,"Silicon spin: ~45%. Best manufacturing/scaling story (rides the semiconductor industry), just hit top-tier quality on an industrial line; but fewest qubits so far and no logical-qubit demo yet. High variance. Loose forecast, independent odds, +/-~15 pts, mid-2026.",EST,"open forecast — signpost: up if a first credible logical qubit is built on silicon spin",OPEN-UNVERIFIED
QCF5,"Photonic: ~35%. Room-temperature operation and native networking are real advantages, but gated almost entirely by unsolved optical loss; many gates probabilistic, needing heavy redundancy. Loose forecast, independent odds, +/-~15 pts, mid-2026.",EST,"open forecast — signpost: up if optical loss drops below the fault-tolerance threshold with a logical qubit demonstrated",OPEN-UNVERIFIED
QCF6,"Topological: ~15%. A bet on an unproven physics claim; the existence of the qubit itself is disputed by much of the community; low expected value precisely because the existence question is open. Loose forecast, independent odds, +/-~15 pts, mid-2026.",EST,"open forecast — signpost: independent reproduction of an accepted topological qubit; could collapse toward 0 or jump materially",OPEN-UNVERIFIED
QCF7,"Annealing/D-Wave gate-model pivot: ~30% (aside, not ranked head-to-head). Present-day annealing optimization usefulness is a separate, already-banked win answering a different question. Loose forecast, mid-2026.",EST,"open forecast — signpost: up if the gate-model line delivers logical qubits on its roadmap",OPEN-UNVERIFIED
QCF8,"Author thesis (tracked forecast): the long-term endpoint of quantum computing is optical/photonic rather than electronic. The author's conviction after years of research, which currently runs ahead of the demonstrated evidence (which ranks photonic lower today, ~35%); conviction and demonstration are different columns of the ledger.",EST,"open forecast — signpost: photonic optical loss below the fault-tolerance threshold with a working logical qubit; if it hits, the photonic probability (QCF5) revises up materially",OPEN-UNVERIFIED
QCF9,"NV centers (diamond): ~12%. Physics is strong but the case for scalable general-purpose computing is weak — placing and wiring many NV qubits accurately in diamond is the unsolved problem, and the field has largely converged on NV as excellent for sensing, networking, and communication rather than a path to a general fault-tolerant computer. The ~12% measures the fault-tolerant, useful-scale COMPUTING question specifically; NV may succeed strongly in a different lane (sensing/networking) that this number does not measure. Loose forecast, independent odds, +/-~15 pts, mid-2026.",EST,"open forecast — signpost: up if a credible multi-qubit error-corrected NV processor architecture with a real scaling path appears (not another sensing/networking milestone)",OPEN-UNVERIFIED
QCF10,"III-V quantum dots (optically-active, photon sources): ~10-12%. Physics is strong but as a route to a general fault-tolerant computer it is weak — dot-to-dot variability and the fact they function as a COMPONENT feeding photonic/network architectures rather than a self-contained processor. The ~10-12% measures the fault-tolerant, useful-scale COMPUTING question specifically; III-V dots may succeed strongly in a different lane (best-in-class on-demand single-photon sources; spin-photon interfaces for networking) that this number does not measure. Loose forecast, independent odds, +/-~15 pts, mid-2026.",EST,"open forecast — signpost: up if a credible scalable processor architecture built on III-V quantum dots appears (not merely an improved photon-source benchmark)",OPEN-UNVERIFIED
CN1,"Hefei anchors China's effort: the National Laboratory for Quantum Information Sciences (set in motion after Xi's 2016 USTC visit) and the 'Quantum Avenue' cluster on Yunfei Road (30+ companies). Verified construction figure ~CNY 7B (~$1B) Phase 1 per MERICS; 'world's largest facility' is a reported characterization.",CITE,"citation_audit.md — reported, audit pending (MERICS/SCMP/ITIF/china.org.cn)",OPEN
CN2,"Pan Jianwei / USTC milestones: Micius satellite first space-to-ground QKD + ~2,032 km Beijing-Shanghai QKD backbone; Jiuzhang photonic boson-sampling advantage (3.0 ~255 photons, 2023); Zuchongzhi superconducting processors (62 to ~176 qubits). Communication and sampling-advantage milestones, not fault-tolerant computing.",CITE,"citation_audit.md — reported, audit pending (CAS/USCC/USTC)",OPEN
CN3,"Private pullback, state effort still rising: Alibaba (Nov 2023) and Baidu (Jan 2024) closed their quantum labs and pivoted to AI, but the overall Chinese effort grew — state-aligned specialists (Origin Quantum, QuantumCTek) took over commercially, the 2026 15th Five-Year Plan names quantum an industrial priority, a national guidance fund earmarked ~CNY 121.8B, and Q1-2026 financing (~CNY 2.2B) nearly matched all of 2025.",CITE,"citation_audit.md — reported, audit pending (DCD/IEEE Spectrum/HPCwire/quantumzeitgeist/The Quantum Insider)",OPEN
CN4,"Circulating dollar figures for China's quantum spend are unreliable and unverifiable (the most-quoted ~$15.3B traces to one caveated 2022 McKinsey estimate; same-lineage figures range to $150B; an insider suggests perhaps a third). This dossier does NOT rest on any headline spend number and argues instead from tempo, structure and purchasing-power (see CN9).",CITE,"citation_audit.md — reported, audit pending (McKinsey via postquantum analysis); not used as a load-bearing claim",OPEN
CN5,"Documented Chinese elite-university drive (rival framing only): the Ministry of Education named 12 universities to 'Schools of Future Technology' tasked explicitly to RIVAL MIT and Stanford in science and technology; the Double First-Class initiative (双一流, 2015; 2017 lists) named 42 'world-class' universities and 465 first-class disciplines across 140 institutions, aiming to be a higher-education powerhouse by 2050.",CITE,"citation_audit.md — reported, audit pending (SCMP/Wikipedia/THE/University World News)",OPEN
CN6,"Author argument (the author's view): the question is not whether the West has already lost, but whether US/allied quantum investment, institutions and talent pipelines are large enough and EARLY enough to keep pace with a still-accelerating two-decade Chinese program — judged on tempo and structure, not on unreliable dollar totals. A wake-up call, not an obituary; counter-evidence held in the same breath — dollar figures are unreliable in either direction, much of China's lead is in communication, and most assessments still put the US ahead in quantum computing.",EST,"open forecast — signpost: eased if the US/allies sustain a reauthorized fully-funded national quantum program and are first to fault-tolerant useful-scale QC; sharpened if China is first to fault-tolerant useful-scale QC or fields an operational unbreakable continental quantum network while Western funding stays stop-start",OPEN-UNVERIFIED
CN7,"China runs large international STEM talent-recruitment programs (the Thousand Talents Plan and rebranded successors), courting researchers abroad with multi-year packages; e.g. a 2024 program reportedly approached 149 professors (~a fifth of faculty) at South Korea's KAIST. The people side of the decades-scale STEM bet.",CITE,"citation_audit.md — reported, audit pending (Korea Herald/Stanford FSI/Wikipedia)",OPEN
CN8,"US response lag: the US National Quantum Initiative (2018) saw its core R&D authorization lapse on 30 Sep 2023, with reauthorization stalled in committee through 2024 and only re-advancing in 2026; a federal panel urged a 'Quantum First by 2030' goal (Nov 2025) and industry (Microsoft) warned the US risks falling behind and urged a larger STEM-talent pipeline.",CITE,"citation_audit.md — reported, audit pending (FedScoop/The Quantum Insider/Congress.gov/CNBC)",OPEN
